Name,nid_dam_name,nid_id,nid_distance_km,nid_owner_names,nid_owner_type,nid_max_storage
Fish,Fish Lake Dam,OR00021,0.05,MEDFORD IRRIGATION DISTRICT;ROGUE RIVER VALLEY IRRIGATION DISTRICT,Public Utility,9397
Flaming Gorge,Flaming Gorge Dam,UT10121,14.5,BUREAU OF RECLAMATION,Federal,4005200
Flatiron,Flatiron Dam,CO01654,1.08,BUREAU OF RECLAMATION,Federal,1136
Folsom,Folsom Dike 8,CA10148,4.49,BUREAU OF RECLAMATION,Federal,1120000
Fontenelle,Fontenelle Dam,WY01389,4.46,BUREAU OF RECLAMATION,Federal,334411
Fort Cobb,Fort Cobb Dam,OK02502,0,BUREAU OF RECLAMATION,Federal,292390
Fort Peck,Fort Peck Dam,MT00025,0,USACE - Omaha District,Federal,19100000
Foss,Foss Dam,OK02503,0,BUREAU OF RECLAMATION,Federal,816900
Fourmile,Fourmile Lake Dam,OR00022,0.07,MEDFORD IRRIGATION DISTRICT,Public Utility,15600
Franklin D. Roosevelt,Grand Coulee Dam,WA00262,0,BUREAU OF RECLAMATION,Federal,9715346
Fresno,Fresno Dam,MT00570,0.98,BUREAU OF RECLAMATION,Federal,229288
Fruitgrowers,Fruitgrowers Dam,CO01683,0.05,BUREAU OF RECLAMATION,Federal,7548
Gerber,Gerber Dam,OR00584,0,BUREAU OF RECLAMATION,Federal,92215
Gibson,Gibson Dam,MT00571,0.07,BUREAU OF RECLAMATION,Federal,121981
Glendo,Glendo Dike 2,WY01486,3.22,BUREAU OF RECLAMATION,Federal,1118653
Granby,Granby Dike 2,CO01656,4.06,BUREAU OF RECLAMATION,Federal,539760
Grassy,Grassy Lake Dam,WY01384,0.11,BUREAU OF RECLAMATION,Federal,16210
Gray Reef,Gray Reef Dam,WY01292,0.21,BUREAU OF RECLAMATION,Federal,1804
Green Mountain,Green Mountain Dam,CO01658,1.44,BUREAU OF RECLAMATION,Federal,161850
Guernsey,Guernsey Dam,WY01293,0.24,BUREAU OF RECLAMATION,Federal,45612
Harry Strunk,Medicine Creek Dam,NE01073,0,BUREAU OF RECLAMATION,Federal,193020
Havasu,Parker Dam,AZ10312,0.07,BUREAU OF RECLAMATION,Federal,180000
Haystack,Haystack Dam,OR00287,0.09,BUREAU OF RECLAMATION,Federal,7350
Helena Valley,Helena Valley Dike,MT00743,0.38,BUREAU OF RECLAMATION,Federal,10702
Henry Hagg,Scoggins Dam,OR00685,0.1,BUREAU OF RECLAMATION,Federal,60000
Heron,Heron Dike,NM00122,3.5,BUREAU OF RECLAMATION,Federal,429646
Horsetooth,Horsetooth Dam,CO01659,0.11,BUREAU OF RECLAMATION,Federal,170370
Howard Prairie,Howard Prairie Dam,OR00580,0.05,BUREAU OF RECLAMATION,Federal,76700
Hugh Butler,Red Willow Dam,NE01076,0,BUREAU OF RECLAMATION,Federal,161899
Hungry Horse,Hungry Horse Dam,MT00565,0.48,BUREAU OF RECLAMATION,Federal,3588000
Hyatt,Hyatt Dam,OR00591,0.13,BUREAU OF RECLAMATION,Federal,25100
Hyrum,Hyrum Dike,UT10123,0.93,BUREAU OF RECLAMATION,Federal,18685
Island Park,Island Park Dam,ID00272,0.16,BUREAU OF RECLAMATION,Federal,169646
Jackson,Jackson Lake Dam,WY01385,0.01,BUREAU OF RECLAMATION,Federal,872700
Jackson Gulch,Jackson Gulch Dam,CO01685,0.37,BUREAU OF RECLAMATION,Federal,9980
Jamestown,Jamestown Dam,ND00151,0.18,BUREAU OF RECLAMATION,Federal,379636
Jordanelle,Jordanelle Dam,UT10204,1.22,DEPARTMENT OF THE INTERIOR,Federal,363354
Kachess,Kachess Dam,WA00260,0.1,BUREAU OF RECLAMATION,Federal,239000
Keechelus,Keechelus Dam,WA00265,0.02,BUREAU OF RECLAMATION,Federal,158000
Keith Sebelius,Norton Dam,KS00024,0.43,BUREAU OF RECLAMATION,Federal,192027
Keswick,Keswick Dam,CA10160,1.24,BUREAU OF RECLAMATION,Federal,25132
Keyhole,Keyhole Dam,WY01380,0.09,BUREAU OF RECLAMATION,Federal,629025
Kirwin,Kirwin Dam,KS00022,0.29,BUREAU OF RECLAMATION,Federal,511757
Kortes,Kortes Dam,WY01294,0,BUREAU OF RECLAMATION,Federal,4739
Lahontan,Lahontan Dike,NV10123,0.3,BUREAU OF RECLAMATION,Federal,422800
Lake Of The Arbuckles,Arbuckle Dike 2,OK02501,0.63,BUREAU OF RECLAMATION,Federal,226450
Lemon,Lemon Dam,CO01688,1.51,BUREAU OF RECLAMATION,Federal,487660
Lewiston,Lewiston Dam,CA10165,0.07,BUREAU OF RECLAMATION,Federal,14660
Little Wood River,Little Wood River Dam,ID00041,0.05,LITTLE WOOD RIVER IRRIGATION DISTRICT,Public Utility,33300
Lost,Lost Lake Dike,UT00184,0.34,DEPARTMENT OF THE INTERIOR,Federal,1350
Lost Creek,Lost Creek Dam,UT10125,0.57,BUREAU OF RECLAMATION,Federal,26760
Lovewell,Lovewell Dam,KS00023,0.64,BUREAU OF RECLAMATION,Federal,180276
Lowell,Deer Flat Upper Dam,ID00276,6.94,BUREAU OF RECLAMATION,Federal,159365
Lucky Peak,Lucky Peak Dam,ID00288,0,USACE - Walla Walla District,Federal,307043
Mann,Reservoir A Dam,ID00261,0.06,BUREAU OF RECLAMATION,Federal,3665
Mann Creek,Mann Creek Dam,ID00285,0.04,BUREAU OF RECLAMATION,Federal,12536
Marys,Marys Lake Dike 2,CO01660,0.39,BUREAU OF RECLAMATION,Federal,1149
Mason,Mason Dam,OR00577,0.03,BUREAU OF RECLAMATION,Federal,95500
McGee Creek,McGee Creek Dike,OK22194,4.29,BUREAU OF RECLAMATION,Federal,290661
McKay,McKay Dam,OR00583,0.1,BUREAU OF RECLAMATION,Federal,71534
McPhee,McPhee Great Cut Dike,CO02707,5.12,BUREAU OF RECLAMATION,Federal,399200
Mead,Hoover Dam,NV10122,0,BUREAU OF RECLAMATION,Federal,30237000
Meeks Cabin,Meeks Cabin Dam,WY01390,1.08,BUREAU OF RECLAMATION,Federal,38720
Meredith,Sanford Dam,TX00023,0,BUREAU OF RECLAMATION,Federal,2385983
Merritt,Merritt Dam,NE01074,0.21,BUREAU OF RECLAMATION,Federal,78375
Millerton,Friant Millerton Road Embankment A,CA10154,2.4,BUREAU OF RECLAMATION,Federal,555500
Minatare,Minatare Dam,NE01075,0.38,BUREAU OF RECLAMATION,Federal,62190
Mohave,Mohave Gen Sta Dam,NV00115,7.77,SOUTHERN CALIFORNIA EDISON,Public Utility,230
Moon,Moon Lake Dam,UT10128,2.09,BUREAU OF RECLAMATION,Federal,49500
Morrow Point,Morrow Point Dam,CO01689,2.62,BUREAU OF RECLAMATION,Federal,121275
Mt. Elbert Forebay,Mt. Elbert Forebay Dam,CO00446,1.11,BUREAU OF RECLAMATION,Federal,11420
Nambe Falls,Santa Cruz Dam,NM00251,0.46,SANTA CRUZ IRRIGATION DISTRICT,Local Government,5948
Nasworthy,Nasworthy Dam,TX03139,0.05,CITY OF SAN ANGELO,Local Government,32981
Natoma,Folsom Dike 8,CA10148,6.48,BUREAU OF RECLAMATION,Federal,1120000
Navajo,Navajo Dam,NM00120,9.67,BUREAU OF RECLAMATION,Federal,1986600
Nelson,Nelson Dike Da,MT00574,0.66,BUREAU OF RECLAMATION,Federal,79224
New Melones,New Melones Dam,CA10246,0.14,BUREAU OF RECLAMATION,Federal,2870000
Newton,Newton Dam,UT10129,0.46,BUREAU OF RECLAMATION,Federal,5594
Nighthorse,Ridges Basin Dam,CO02952,1.97,BUREAU OF RECLAMATION,Federal,139809
Ochoco,Ochoco Dam,OR00098,0.11,OCHOCO IRRIGATION DISTRICT,Public Utility,65664
Owyhee,Owyhee Dam,OR00582,0.06,BUREAU OF RECLAMATION,Federal,1120000
Pactola,Pactola Dike 2,SD01139,0.84,BUREAU OF RECLAMATION,Federal,140898
Palisades,Palisades Dam,ID00273,0.45,BUREAU OF RECLAMATION,Federal,1417810
Paonia,Paonia Dam,CO01691,0.26,BUREAU OF RECLAMATION,Federal,23230
Pathfinder,Pathfinder Dam,WY01296,0.02,BUREAU OF RECLAMATION,Federal,1016500
Pilot Butte,Pilot Butte Embankment 2,WY01381,0.54,BUREAU OF RECLAMATION,Federal,36900
Pineview,Pineview Dam,UT10132,2.95,BUREAU OF RECLAMATION,Federal,116000
Pinewood,Carter Lake Dam 2,CO01650,7.42,BUREAU OF RECLAMATION,Federal,116837
Pishkun,Pishkun Dike 2,MT00575,3.88,BUREAU OF RECLAMATION,Federal,46670
Platoro,Platoro Dam,CO01671,1.97,BUREAU OF RECLAMATION,Federal,73317
Potholes,O'Sullivan Dam,WA00268,1.17,BUREAU OF RECLAMATION,Federal,546300
Powell,Navajo Evap Pond 60-2,AZ00192,18.42,SALT RIVER PROJECT,Public Utility,629
Prineville,Arthur R. Bowman Dam,OR00579,0.05,BUREAU OF RECLAMATION,Federal,281920
Prosser Creek,Prosser Creek Dam,CA10179,0,BUREAU OF RECLAMATION,Federal,41220
Pueblo,Pueblo Dam,CO00299,1.17,BUREAU OF RECLAMATION,Federal,489116
Red Fleet,Red Fleet Dam,UT82901,0.66,BUREAU OF RECLAMATION,Federal,26000
Ridgway,Ridgway Dam,CO02706,1.8,BUREAU OF RECLAMATION,Federal,93945
Rifle Gap,Rifle Gap Dam,CO01692,0,BUREAU OF RECLAMATION,Federal,18261
Rimrock,Tieton Dam,WA00273,0.02,BUREAU OF RECLAMATION,Federal,198000
Ririe,Ririe Dam,ID00344,0.03,BUREAU OF RECLAMATION,Federal,100500
Rockport,Wanship Dam,UT10131,1.6,BUREAU OF RECLAMATION,Federal,75730
Ruedi,Ruedi Dam,CO01664,0.17,BUREAU OF RECLAMATION,Federal,119007
Santa Rosa,Santa Rosa Dam,NM00158,0,USACE - Albuquerque District,Federal,717000
Scofield,Scofield Dam,UT10133,6.02,BUREAU OF RECLAMATION,Federal,73600
Scooteney,Scooteney Headworks Dike,WA00566,0.03,BUREAU OF RECLAMATION,Federal,15250
Seminoe,Seminoe Dam,WY01297,0.04,BUREAU OF RECLAMATION,Federal,1017279
Shadehill,Shadehill Dike 2,SD01141,0.72,BUREAU OF RECLAMATION,Federal,468585
Shadow Mountain,Shadow Mountain Dike,CO01666,0.3,BUREAU OF RECLAMATION,Federal,18369
Shasta,Shasta Dam,CA10186,0.09,BUREAU OF RECLAMATION,Federal,4661860
Sherburne,Lake Sherburne Dam,MT00572,0.02,BUREAU OF RECLAMATION,Federal,110679
Silver Jack,Silver Jack Dam,CO01693,0.13,BUREAU OF RECLAMATION,Federal,15363
Soldiers Meadow,Soldiers Meadow Dam,ID00149,0.07,BUREAU OF RECLAMATION,Federal,3195
Spring Creek,Spring Creek Debris Dam,CA10190,0.07,BUREAU OF RECLAMATION,Federal,7286
Stampede,Stampede Dam,CA10192,0,BUREAU OF RECLAMATION,Federal,339100
Starvation,Starvation Dam,UT10136,0.4,DEPARTMENT OF THE INTERIOR,Federal,186990
Stateline,Stateline Dam,UT10156,0.74,BUREAU OF RECLAMATION,Federal,15932
Steinaker,Steinaker Dam,UT10113,0.87,BUREAU OF RECLAMATION,Federal,40358
Strawberry,Soldier Creek Dam,UT10135,9.6,DEPARTMENT OF THE INTERIOR,Federal,1106500
Sumner,Sumner Dam,NM00130,2.4,BUREAU OF RECLAMATION,Federal,227683
Swanson,Trenton Dam,NE01078,0,BUREAU OF RECLAMATION,Federal,352018
Tahoe,Lake Tahoe Dam,CA10162,0,BUREAU OF RECLAMATION,Federal,732000
Taylor Park,Taylor Park Dam,CO00151,2.33,BUREAU OF RECLAMATION,Federal,111280
Thief Valley,Thief Valley Dam,OR00592,0.03,BUREAU OF RECLAMATION,Federal,13307
Thunderbird,Norman Dam,OK02504,0,BUREAU OF RECLAMATION,Federal,367467
Tom Steed,Mountain Park East Dike,OK20502,2.74,BUREAU OF RECLAMATION,Federal,199504
Trial,Trial Lake Dam,UT00301,0.01,DEPARTMENT OF THE INTERIOR,Federal,1661
Trinity,Trinity Dam,CA10196,0.02,BUREAU OF RECLAMATION,Federal,2760870
Tschida,Heart Butte Dam,ND00149,0.08,BUREAU OF RECLAMATION,Federal,451200
Turquoise,Sugar Loaf Dam,CO01669,0.13,BUREAU OF RECLAMATION,Federal,1833700
Twin Buttes,Twin Buttes Dam,TX00022,0,BUREAU OF RECLAMATION,Federal,1088152
Twin Lakes,Twin Lakes Dam,CO02045,0.96,BUREAU OF RECLAMATION,Federal,147500
Unity,Unity Dam,OR00593,0.01,BUREAU OF RECLAMATION,Federal,25500
Upper Klamath,Link River Diversion Dam,OR00557,0,BUREAU OF RECLAMATION,Federal,735000
Upper Stillwater,Upper Stillwater Dam,UT00608,0.64,DEPARTMENT OF THE INTERIOR,Federal,35253
Utah,Lake Mtn South Zone 2 Irrigation Pond,UT54016,11.72,SARATOGA SPRINGS CITY,Private,NA
Vallecito,Vallecito Dam,CO01695,2.08,BUREAU OF RECLAMATION,Federal,136200
Vega,Vega Dam,CO01697,0,BUREAU OF RECLAMATION,Federal,38102
Waconda,Glen Elder Cawker City Dike,KS00018,9.65,BUREAU OF RECLAMATION,Federal,1128740
Walcott,Minidoka South Dike,ID00275,0.92,BUREAU OF RECLAMATION,Federal,220200
Warm Springs,Warm Springs Dam,OR00082,0.06,WARM SPRINGS IRRIGATION DISTRICT,Public Utility,169714
Washington,Washington Lake Dam,UT00315,0.03,DEPARTMENT OF THE INTERIOR,Federal,2705
Webster,Webster Dike,KS00025,4.17,BUREAU OF RECLAMATION,Federal,401650
Whiskeytown,Whiskeytown Dike 2,CA10204,0.76,BUREAU OF RECLAMATION,Federal,276117
Wickiup,Wickiup South Dike,OR00276,5.87,BUREAU OF RECLAMATION,Federal,202170
Willard Bay,Arthur V. Watkins Dam,UT10112,2.46,BUREAU OF RECLAMATION,Federal,223000
Willow Creek Reservoir CO,Granby Dike 2,CO01656,5.36,BUREAU OF RECLAMATION,Federal,539760
Willow Creek Reservoir MT,Willow Creek BOR MT Dam,MT00577,0.01,BUREAU OF RECLAMATION,Federal,39800
