# Elevation-Storage Curves for Reservoirs
#
# Some data sources report water surface elevation rather than storage volume.
# This file contains the lookup tables to convert elevation (ft) to storage (af).
#
# Format: location_id, elevation_ft, storage_af
# - Each location_id can have multiple rows defining the curve
# - Elevations should be in ascending order
# - Linear interpolation is used between points
#
# Sources:
# - 11507001 (Upper Klamath Lake): 2017 revision of UKL elevation-capacity curve
#   from KBAO Hydro Team (Daily_UKL_net_inflow_Apr2017_FINAL), revised 14Apr2017
#   Units: elevation = ft BOR datum, storage = acre-feet
#   Table includes present configuration with northern marshes and Tulana Farms/Goose Bay
#
# - 10337000 (Lake Tahoe A Tahoe City CA): elevation-capacity curve from Gregg
#   Reynolds / Lahontan Basin Area Office (LBAO), via config/Book4.xlsx.
#   IMPORTANT: Tahoe rows are indexed by USGS gage height
#   (= lake_surface_elev_LTD - 6220.00 ft), NOT by lake-surface elevation.
#   The USGS gage datum at Lake Tahoe sits at 6220.00 ft LTD, which is ~3 ft
#   BELOW the natural rim of Lake Tahoe (6223.00 ft LTD). Therefore:
#     gage_height = 0.0  -> lake surface at 6220.00 LTD (well below rim)
#     gage_height = 3.0  -> lake surface at 6223.00 LTD (natural rim, storage = 0)
#     gage_height = 9.1  -> lake surface at 6229.10 LTD (legal max, ~744,000 af)
#     gage_height = 9.5  -> lake surface at 6229.50 LTD (curve max, 793,920 af)
#   Storage at and below the natural rim is clamped to 0 acre-feet.
#   Range: gage_height -1.00 to +9.50 ft, storage 0 to 793,920 ac-ft.
#   Units: elevation_ft = gage_height ft above local gage datum, storage = acre-feet
#
location_id,elevation_ft,storage_af
10337000,1.45,0
10337000,1.46,0
10337000,1.47,0
10337000,1.48,0
10337000,1.49,0
10337000,1.5,0
10337000,1.51,0
10337000,1.52,0
10337000,1.53,0
10337000,1.54,0
10337000,1.55,0
10337000,1.56,0
10337000,1.57,0
10337000,1.58,0
10337000,1.59,0
10337000,1.6,0
10337000,1.61,0
10337000,1.62,0
10337000,1.63,0
10337000,1.64,0
10337000,1.65,0
10337000,1.66,0
10337000,1.67,0
10337000,1.68,0
10337000,1.69,0
10337000,1.7,0
10337000,1.71,0
10337000,1.72,0
10337000,1.73,0
10337000,1.74,0
10337000,1.75,0
10337000,1.76,0
10337000,1.77,0
10337000,1.78,0
10337000,1.79,0
10337000,1.8,0
10337000,1.81,0
10337000,1.82,0
10337000,1.83,0
10337000,1.84,0
10337000,1.85,0
10337000,1.86,0
10337000,1.87,0
10337000,1.88,0
10337000,1.89,0
10337000,1.9,0
10337000,1.91,0
10337000,1.92,0
10337000,1.93,0
10337000,1.94,0
10337000,1.95,0
10337000,1.96,0
10337000,1.97,0
10337000,1.98,0
10337000,1.99,0
10337000,2.0,0
10337000,2.01,0
10337000,2.02,0
10337000,2.03,0
10337000,2.04,0
10337000,2.05,0
10337000,2.06,0
10337000,2.07,0
10337000,2.08,0
10337000,2.09,0
10337000,2.1,0
10337000,2.11,0
10337000,2.12,0
10337000,2.13,0
10337000,2.14,0
10337000,2.15,0
10337000,2.16,0
10337000,2.17,0
10337000,2.18,0
10337000,2.19,0
10337000,2.2,0
10337000,2.21,0
10337000,2.22,0
10337000,2.23,0
10337000,2.24,0
10337000,2.25,0
10337000,2.26,0
10337000,2.27,0
10337000,2.28,0
10337000,2.29,0
10337000,2.3,0
10337000,2.31,0
10337000,2.32,0
10337000,2.33,0
10337000,2.34,0
10337000,2.35,0
10337000,2.36,0
10337000,2.37,0
10337000,2.38,0
10337000,2.39,0
10337000,2.4,0
10337000,2.41,0
10337000,2.42,0
10337000,2.43,0
10337000,2.44,0
10337000,2.45,0
10337000,2.46,0
10337000,2.47,0
10337000,2.48,0
10337000,2.49,0
10337000,2.5,0
10337000,2.51,0
10337000,2.52,0
10337000,2.53,0
10337000,2.54,0
10337000,2.55,0
10337000,2.56,0
10337000,2.57,0
10337000,2.58,0
10337000,2.59,0
10337000,2.6,0
10337000,2.61,0
10337000,2.62,0
10337000,2.63,0
10337000,2.64,0
10337000,2.65,0
10337000,2.66,0
10337000,2.67,0
10337000,2.68,0
10337000,2.69,0
10337000,2.7,0
10337000,2.71,0
10337000,2.72,0
10337000,2.73,0
10337000,2.74,0
10337000,2.75,0
10337000,2.76,0
10337000,2.77,0
10337000,2.78,0
10337000,2.79,0
10337000,2.8,0
10337000,2.81,0
10337000,2.82,0
10337000,2.83,0
10337000,2.84,0
10337000,2.85,0
10337000,2.86,0
10337000,2.87,0
10337000,2.88,0
10337000,2.89,0
10337000,2.9,0
10337000,2.91,0
10337000,2.92,0
10337000,2.93,0
10337000,2.94,0
10337000,2.95,0
10337000,2.96,0
10337000,2.97,0
10337000,2.98,0
10337000,2.99,0
10337000,3.0,0
10337000,3.01,1213
10337000,3.02,2426
10337000,3.03,3639
10337000,3.04,4852
10337000,3.05,6065
10337000,3.06,7278
10337000,3.07,8491
10337000,3.08,9704
10337000,3.09,10917
10337000,3.1,12130
10337000,3.11,13343
10337000,3.12,14556
10337000,3.13,15769
10337000,3.14,16982
10337000,3.15,18195
10337000,3.16,19408
10337000,3.17,20621
10337000,3.18,21834
10337000,3.19,23047
10337000,3.2,24260
10337000,3.21,25473
10337000,3.22,26686
10337000,3.23,27899
10337000,3.24,29112
10337000,3.25,30325
10337000,3.26,31538
10337000,3.27,32751
10337000,3.28,33964
10337000,3.29,35177
10337000,3.3,36390
10337000,3.31,37604
10337000,3.32,38818
10337000,3.33,40032
10337000,3.34,41246
10337000,3.35,42460
10337000,3.36,43674
10337000,3.37,44888
10337000,3.38,46102
10337000,3.39,47316
10337000,3.4,48530
10337000,3.41,49743
10337000,3.42,50956
10337000,3.43,52169
10337000,3.44,53382
10337000,3.45,54595
10337000,3.46,55808
10337000,3.47,57021
10337000,3.48,58234
10337000,3.49,59447
10337000,3.5,60660
10337000,3.51,61874
10337000,3.52,63088
10337000,3.53,64302
10337000,3.54,65516
10337000,3.55,66730
10337000,3.56,67944
10337000,3.57,69158
10337000,3.58,70372
10337000,3.59,71586
10337000,3.6,72800
10337000,3.61,74014
10337000,3.62,75228
10337000,3.63,76442
10337000,3.64,77656
10337000,3.65,78870
10337000,3.66,80084
10337000,3.67,81298
10337000,3.68,82512
10337000,3.69,83726
10337000,3.7,84940
10337000,3.71,86155
10337000,3.72,87370
10337000,3.73,88585
10337000,3.74,89800
10337000,3.75,91015
10337000,3.76,92230
10337000,3.77,93445
10337000,3.78,94660
10337000,3.79,95875
10337000,3.8,97090
10337000,3.81,98304
10337000,3.82,99518
10337000,3.83,100732
10337000,3.84,101946
10337000,3.85,103160
10337000,3.86,104374
10337000,3.87,105588
10337000,3.88,106802
10337000,3.89,108016
10337000,3.9,109230
10337000,3.91,110445
10337000,3.92,111660
10337000,3.93,112875
10337000,3.94,114090
10337000,3.95,115305
10337000,3.96,116520
10337000,3.97,117735
10337000,3.98,118950
10337000,3.99,120165
10337000,4.0,121380
10337000,4.01,122595
10337000,4.02,123810
10337000,4.03,125025
10337000,4.04,126240
10337000,4.05,127455
10337000,4.06,128670
10337000,4.07,129885
10337000,4.08,131100
10337000,4.09,132315
10337000,4.1,133530
10337000,4.11,134745
10337000,4.12,135960
10337000,4.13,137175
10337000,4.14,138390
10337000,4.15,139605
10337000,4.16,140820
10337000,4.17,142035
10337000,4.18,143250
10337000,4.19,144465
10337000,4.2,145680
10337000,4.21,146895
10337000,4.22,148110
10337000,4.23,149325
10337000,4.24,150540
10337000,4.25,151755
10337000,4.26,152970
10337000,4.27,154185
10337000,4.28,155400
10337000,4.29,156615
10337000,4.3,157830
10337000,4.31,159045
10337000,4.32,160260
10337000,4.33,161475
10337000,4.34,162690
10337000,4.35,163905
10337000,4.36,165120
10337000,4.37,166335
10337000,4.38,167550
10337000,4.39,168765
10337000,4.4,169980
10337000,4.41,171196
10337000,4.42,172412
10337000,4.43,173628
10337000,4.44,174844
10337000,4.45,176060
10337000,4.46,177276
10337000,4.47,178492
10337000,4.48,179708
10337000,4.49,180924
10337000,4.5,182140
10337000,4.51,183356
10337000,4.52,184572
10337000,4.53,185788
10337000,4.54,187004
10337000,4.55,188220
10337000,4.56,189436
10337000,4.57,190652
10337000,4.58,191868
10337000,4.59,193084
10337000,4.6,194300
10337000,4.61,195516
10337000,4.62,196732
10337000,4.63,197948
10337000,4.64,199164
10337000,4.65,200380
10337000,4.66,201596
10337000,4.67,202812
10337000,4.68,204028
10337000,4.69,205244
10337000,4.7,206460
10337000,4.71,207676
10337000,4.72,208892
10337000,4.73,210108
10337000,4.74,211324
10337000,4.75,212540
10337000,4.76,213756
10337000,4.77,214972
10337000,4.78,216188
10337000,4.79,217404
10337000,4.8,218620
10337000,4.81,219837
10337000,4.82,221054
10337000,4.83,222271
10337000,4.84,223488
10337000,4.85,224705
10337000,4.86,225922
10337000,4.87,227139
10337000,4.88,228356
10337000,4.89,229573
10337000,4.9,230790
10337000,4.91,232007
10337000,4.92,233224
10337000,4.93,234441
10337000,4.94,235658
10337000,4.95,236875
10337000,4.96,238092
10337000,4.97,239309
10337000,4.98,240526
10337000,4.99,241743
10337000,5.0,242960
10337000,5.01,244177
10337000,5.02,245394
10337000,5.03,246611
10337000,5.04,247828
10337000,5.05,249045
10337000,5.06,250262
10337000,5.07,251479
10337000,5.08,252696
10337000,5.09,253913
10337000,5.1,255130
10337000,5.11,256347
10337000,5.12,257564
10337000,5.13,258781
10337000,5.14,259998
10337000,5.15,261215
10337000,5.16,262432
10337000,5.17,263649
10337000,5.18,264866
10337000,5.19,266083
10337000,5.2,267300
10337000,5.21,268517
10337000,5.22,269734
10337000,5.23,270951
10337000,5.24,272168
10337000,5.25,273385
10337000,5.26,274602
10337000,5.27,275819
10337000,5.28,277036
10337000,5.29,278253
10337000,5.3,279470
10337000,5.31,280687
10337000,5.32,281904
10337000,5.33,283121
10337000,5.34,284338
10337000,5.35,285555
10337000,5.36,286772
10337000,5.37,287989
10337000,5.38,289206
10337000,5.39,290423
10337000,5.4,291640
10337000,5.41,292858
10337000,5.42,294076
10337000,5.43,295294
10337000,5.44,296512
10337000,5.45,297730
10337000,5.46,298948
10337000,5.47,300166
10337000,5.48,301384
10337000,5.49,302602
10337000,5.5,303820
10337000,5.51,305038
10337000,5.52,306256
10337000,5.53,307474
10337000,5.54,308692
10337000,5.55,309910
10337000,5.56,311128
10337000,5.57,312346
10337000,5.58,313564
10337000,5.59,314782
10337000,5.6,316000
10337000,5.61,317218
10337000,5.62,318436
10337000,5.63,319654
10337000,5.64,320872
10337000,5.65,322090
10337000,5.66,323308
10337000,5.67,324526
10337000,5.68,325744
10337000,5.69,326962
10337000,5.7,328180
10337000,5.71,329399
10337000,5.72,330618
10337000,5.73,331837
10337000,5.74,333056
10337000,5.75,334275
10337000,5.76,335494
10337000,5.77,336713
10337000,5.78,337932
10337000,5.79,339151
10337000,5.8,340370
10337000,5.81,341589
10337000,5.82,342808
10337000,5.83,344027
10337000,5.84,345246
10337000,5.85,346465
10337000,5.86,347684
10337000,5.87,348903
10337000,5.88,350122
10337000,5.89,351341
10337000,5.9,352560
10337000,5.91,353779
10337000,5.92,354998
10337000,5.93,356217
10337000,5.94,357436
10337000,5.95,358655
10337000,5.96,359874
10337000,5.97,361093
10337000,5.98,362312
10337000,5.99,363531
10337000,6.0,364750
10337000,6.01,365969
10337000,6.02,367188
10337000,6.03,368407
10337000,6.04,369626
10337000,6.05,370845
10337000,6.06,372064
10337000,6.07,373283
10337000,6.08,374502
10337000,6.09,375721
10337000,6.1,376940
10337000,6.11,378159
10337000,6.12,379378
10337000,6.13,380597
10337000,6.14,381816
10337000,6.15,383035
10337000,6.16,384254
10337000,6.17,385473
10337000,6.18,386692
10337000,6.19,387911
10337000,6.2,389130
10337000,6.21,390350
10337000,6.22,391570
10337000,6.23,392790
10337000,6.24,394010
10337000,6.25,395230
10337000,6.26,396450
10337000,6.27,397670
10337000,6.28,398890
10337000,6.29,400110
10337000,6.3,401330
10337000,6.31,402550
